TransactionID,Date,MobileModel,Brand,Price,UnitsSold,TotalRevenue,CustomerAge,CustomerGender,Location,PaymentMethod
79397f68-61ed-4ea8-bcb2-f918d4e6c05b,"January 6, 2024",One,Samsung,1196.95,85,28002.8,32,Female,San Fransisco,Online
4f87d114-f522-4ead-93e3-f336402df6aa,"January 7, 2024",Four,Samsung,1010.34,64,2378.82,55,Female,San Fransisco,Credit Card
6750b7d6-dcc5-48c5-a76a-b6fc9d540fe1,"January 8, 2024",Four,Oppo,400.8,95,31322.56,57,Male,Las Vegas,Online
7da7de95-f772-4cc2-bce0-b0873f98233e,"January 9, 2024",Four,Oppo,338.6,79,31159.75,46,Other,San Fransisco,Cash
469044af-0d60-4d87-af66-c6603e844057,"January 10, 2024",Five,Google Pixel,839.79,41,11523.36,38,Male,Los Angeles,Online
f7e98db9-cb87-453e-8179-e48ba5443932,"January 11, 2024",Five,Google Pixel,1498.13,70,9703.89,45,Female,New York,Debit Card
61f1c03f-5527-49bf-88f6-0d8694e72d41,"January 12, 2024",Four,OnePlus,975.77,63,8300.22,23,Other,Chicago,Online
55d74ccb-e3c0-4ceb-a102-6d553736b944,"January 13, 2024",Two,Oppo,530.7,79,4515.8,26,Female,San Fransisco,Online
889bd479-e06a-494d-baae-e099bea5469c,"January 14, 2024",Three,Oppo,178.52,58,36150.93,20,Female,Chicago,Debit Card
567c276b-fec4-47e4-b5be-71f2b79bd745,"January 15, 2024",Two,Samsung,774.79,92,24228.27,33,Male,Chicago,Online
f7d25e75-e7e6-4b61-8879-63121787a1dd,"January 16, 2024",One,Google Pixel,806.59,22,2327.26,41,Other,Las Vegas,Cash
c28cafd9-08a6-4a72-8a89-b05d82993315,"January 17, 2024",Four,iPhone,317.64,21,100809.36,62,Female,Chicago,Debit Card
1a9dfe22-c8d8-4872-8cb3-1e7d37c492a9,"January 18, 2024",One,iPhone,1460.22,49,14547.5,37,Other,Chicago,Online
740bd70e-8837-4f7f-8621-45d98a0788ea,"January 19, 2024",Two,OnePlus,761.48,45,36463.14,43,Female,Los Angeles,Debit Card
72122aaf-4049-4799-9c5e-56fa0bda637a,"January 20, 2024",Three,Oppo,965.15,76,112966.65,53,Other,Chicago,Online
41e73345-7161-4b86-9922-848a9ca80bf9,"January 21, 2024",Two,Oppo,1354.69,10,38613.38,38,Male,San Fransisco,Online
21c8f1ad-417b-46a8-8bec-ccfe5d9b18f9,"January 22, 2024",One,iPhone,1025.05,97,3751.67,31,Other,Las Vegas,Debit Card
f0e76c4a-2a03-4c2d-821c-114e2877fa0d,"January 23, 2024",Five,Oppo,1071.99,22,34368.64,56,Female,San Fransisco,Cash
a1dae876-8ee4-4d2e-ac91-35d2536426cf,"January 24, 2024",Five,Google Pixel,1415.74,65,28099.3,35,Other,Los Angeles,Debit Card
5a907002-ba75-4125-879a-217705dd56fd,"January 25, 2024",Five,Google Pixel,307.58,11,12066,25,Male,Las Vegas,Cash
01ba7cfd-dc66-4825-9d40-3575f752c1cc,"January 26, 2024",One,iPhone,678.72,60,86889.63,59,Female,Las Vegas,Online
e2b513d1-e3c2-4592-b59e-735b9c1fc2c1,"January 27, 2024",Three,Google Pixel,1092.94,54,2833.22,60,Female,San Fransisco,Online
0e6b5315-5a90-4d0c-a4db-4b05d041c7e6,"January 28, 2024",Five,Samsung,182.24,71,70443.92,52,Female,New York,Cash
bba8307d-a14f-4411-a2b1-7691e9102fa7,"January 29, 2024",Five,iPhone,1431.15,54,26619.18,20,Male,Las Vegas,Credit Card
8dfb7ce2-660c-48db-b717-3590cc89f89a,"January 30, 2024",Four,OnePlus,1019.82,56,18108.4,32,Other,San Fransisco,Credit Card
daf241b5-33e3-44fb-addf-8c6038821655,"January 31, 2024",Two,OnePlus,1458.52,22,21524.72,27,Other,San Fransisco,Cash
